CNT,Promedio_No_Repetidor,Promedio_Repetidor
ALB,371.01324940527496,319.4548725609756
ARE,442.51891276420906,363.20507476808905
ARG,396.0231642218913,329.8052904901244
AUS,489.9066636220967,436.7650411255412
AUT,500.77040237332835,428.4970143705463
BEL,519.2456599331955,414.66496578289144
BGR,422.3863369643779,338.8697820945946
BRA,393.45880382270167,334.84395308370046
BRN,447.01979136986307,370.9854328326181
CAN,488.45003142049086,409.70907471763684
CHE,516.8304697153444,437.4318636771301
CHL,437.9462374666903,367.02223655413275
COL,408.7038808143122,361.1977561373683
CRI,394.28663773546685,342.6136051870748
CZE,503.68796800587944,380.2834881756757
DEU,491.92991210229565,416.4829617391305
DNK,481.87921449839286,415.7898487889274
DOM,349.5247104451725,309.86321286480046
ESP,500.30736119056206,402.99540022271714
EST,514.8467242674437,451.42122093023255
FIN,479.77269939949105,369.746822705314
FRA,481.2772821590718,374.06556962332934
GBR,483.1400133380603,421.8700146953405
GEO,392.59905893697083,323.95567512195123
GRC,435.035993877551,361.95343206106867
GTM,359.31142764721415,308.4313074126871
HKG,553.584298129414,486.78345314371256
HRV,464.08566555647155,367.59909571428574
HUN,484.70639117050064,376.78680804195807
IDN,384.085854879059,334.39422670080467
IRL,494.2373558999253,440.43592582159624
ISL,460.5371771040724,366.1686266666666
ISR,467.24317394736846,352.4409
ITA,480.6330210520801,411.61830336967296
JAM,383.1558608739837,333.76165874049946
JOR,366.1262123319696,318.60521958115186
JPN,,534.9294799652778
KAZ,447.28716161032264,383.3425020304569
KHM,339.05785378745054,303.7374917288915
KOR,532.4270552437459,492.93265917431194
KSV,355.299169742602,300.20374683544304
LTU,473.0595893258427,392.7659182481752
LVA,484.73867970571376,401.9018121428571
MAC,571.9603914893617,480.3880504721931
MAR,391.89282857920523,330.5339432195428
MDA,417.7565480962584,334.89746845238096
MEX,400.4687397103522,354.6619342446043
MKD,392.7108198501873,320.3217222772277
MLT,473.0942476429288,378.90156617647057
MNE,407.25573761904764,348.3588268292683
MNG,426.92826896910276,348.21046853932586
MYS,414.410069056778,353.41129859649124
NLD,504.79593692584035,444.38884038294174
NOR,,468.47831216154896
NZL,482.22374899012567,412.8353853982301
PAN,364.65179508439445,321.22303607540704
PER,402.470894097393,335.771114269275
PHL,370.06876549794856,307.59871960677225
POL,496.18146612244897,416.94331755725193
PRT,492.39304628661085,384.3248203405866
PRY,350.5266474853801,289.2775363411619
PSE,371.7913176174738,312.2147965116279
QAT,423.55988687618446,357.4767456845238
ROU,439.95250363533887,318.53651011235957
SAU,390.8563264565718,363.81134491725766
SGP,576.8784589699436,489.16552935779816
SLV,351.7562525448554,315.9674269509252
SRB,440.61828013871377,366.13947826086957
SVK,477.44483951434876,344.9871528350515
SVN,474.7241204122443,382.4973913636363
SWE,485.54532205629937,408.4179731707317
TAP,535.1031725909326,406.7674535714286
THA,418.4919569316315,361.4963140893471
TUR,453.41673978660674,365.9804787401575
URY,428.86579252592446,342.8866182481752
USA,468.7136125478012,395.68460244565216
UZB,367.2713646852636,312.2975414798206
VNM,472.48914662068967,389.72285858208954
